1;2;3;4;5;6;7;8;9;10;11
;Игрок 1_1;1;166;60;1994-10-20;Центральный нападающий;Левая;Набережные Челны;NULL;images/player.jpg
;Игрок 1_2;1;167;60.5;1994-10-21;Крайний нападающий;Правая;Набережные Челны;NULL;images/player.jpg
;Игрок 1_3;1;168;61;1994-10-22;Защитник;Левая;Набережные Челны;NULL;images/player.jpg
;Игрок 1_4;1;169;61.5;1994-10-23;Защитник;Правая;Набережные Челны;NULL;images/player.jpg
;Игрок 1_5;1;170;62;1994-10-24;Вратарь;Левая;Набережные Челны;NULL;images/player.jpg
;Игрок 2_1;2;171;62.5;1994-10-25;Центральный нападающий;Правая;Набережные Челны;NULL;images/player.jpg
;Игрок 2_2;2;172;63;1994-10-26;Крайний нападающий;Левая;Набережные Челны;NULL;images/player.jpg
;Игрок 2_3;2;173;63.5;1994-10-27;Защитник;Правая;Набережные Челны;NULL;images/player.jpg
;Игрок 2_4;2;174;64;1994-10-28;Защитник;Левая;Набережные Челны;NULL;images/player.jpg
;Игрок 2_5;2;175;64.5;1994-10-29;Вратарь;Правая;Набережные Челны;NULL;images/player.jpg
;Игрок 3_1;3;176;65;1994-10-30;Центральный нападающий;Левая;Набережные Челны;NULL;images/player.jpg
;Игрок 3_2;3;177;65.5;1994-10-31;Крайний нападающий;Правая;Набережные Челны;NULL;images/player.jpg
;Игрок 3_3;3;178;66;1994-11-01;Защитник;Левая;Набережные Челны;NULL;images/player.jpg
;Игрок 3_4;3;179;66.5;1994-11-02;Защитник;Правая;Набережные Челны;NULL;images/player.jpg
;Игрок 3_5;3;180;67;1994-11-03;Вратарь;Левая;Набережные Челны;NULL;images/player.jpg
;Игрок 4_1;4;181;67.5;1994-11-04;Центральный нападающий;Правая;Набережные Челны;NULL;images/player.jpg
;Игрок 4_2;4;182;68;1994-11-05;Крайний нападающий;Левая;Набережные Челны;NULL;images/player.jpg
;Игрок 4_3;4;183;68.5;1994-11-06;Защитник;Правая;Набережные Челны;NULL;images/player.jpg
;Игрок 4_4;4;184;69;1994-11-07;Защитник;Левая;Набережные Челны;NULL;images/player.jpg
;Игрок 4_5;4;185;69.5;1994-11-08;Вратарь;Правая;Набережные Челны;NULL;images/player.jpg
;Игрок 5_1;5;186;70;1994-11-09;Центральный нападающий;Левая;Набережные Челны;NULL;images/player.jpg
;Игрок 5_2;5;187;70.5;1994-11-10;Крайний нападающий;Правая;Набережные Челны;NULL;images/player.jpg
;Игрок 5_3;5;188;71;1994-11-11;Защитник;Левая;Набережные Челны;NULL;images/player.jpg
;Игрок 5_4;5;189;71.5;1994-11-12;Защитник;Правая;Набережные Челны;NULL;images/player.jpg
;Игрок 5_5;5;190;72;1994-11-13;Вратарь;Левая;Набережные Челны;NULL;images/player.jpg
